bench,conn,count,bytes,world,iters,min_us,median_us,p99_us,max_us,busbw_gbps
allreduce,tcp,65536,262144,2,200,217.32,229.11,247.98,255.78,9.153
allreduce,tcp,262144,1048576,2,200,633.36,678.12,715.16,727.02,12.370
allreduce,tcp,1048576,4194304,2,200,3186.27,3307.90,3372.68,3378.08,10.144
allreduce,tcp,1572864,6291456,2,200,4715.89,4808.94,5225.77,5309.47,10.466
allreduce,tcp,2097152,8388608,2,200,6278.23,6503.82,6917.40,6932.23,10.318
allreduce,tcp,3145728,12582912,2,200,8053.54,8169.97,8904.47,8934.13,12.321
allreduce,tcp,4194304,16777216,2,200,12340.42,12523.89,12935.75,13175.69,10.717
allreduce,tcp_untuned,16384,65536,2,200,107.79,112.04,120.77,123.24,4.680
allreduce,tcp_untuned,65536,262144,2,200,191.22,199.37,290.05,296.08,10.519
allreduce,tcp_untuned,262144,1048576,2,200,582.33,607.55,947.59,949.08,13.807
allreduce,tcp_untuned,1048576,4194304,2,200,2590.17,2707.57,3128.79,3231.59,12.393
allreduce,tcp_untuned,1572864,6291456,2,200,4052.98,4401.02,12206.53,17507.74,11.436
allreduce,tcp_untuned,2097152,8388608,2,200,7551.62,7824.58,8310.20,8364.86,8.577
allreduce,tcp_untuned,3145728,12582912,2,200,8040.57,8705.86,9872.90,10544.39,11.563
allreduce,tcp_untuned,4194304,16777216,2,200,13448.60,14096.28,14992.59,15067.24,9.522
allreduce,rdma,16384,65536,2,200,16.66,17.37,34.21,38.37,30.182
allreduce,rdma,65536,262144,2,200,54.63,61.15,76.26,1494.85,34.296
allreduce,rdma,262144,1048576,2,200,158.16,166.31,190.24,190.52,50.440
allreduce,rdma,1048576,4194304,2,200,607.32,618.92,654.38,725.97,54.214
allreduce,rdma,1572864,6291456,2,200,1030.20,1047.01,1096.02,2736.01,48.072
allreduce,rdma,2097152,8388608,2,200,1730.27,1774.74,2092.92,3746.11,37.813
allreduce,rdma,3145728,12582912,2,200,3167.61,3209.43,5081.86,5086.79,31.365
allreduce,rdma,4194304,16777216,2,200,4251.19,4482.76,4873.17,6170.30,29.941
allreduce,tcp,16384,65536,2,200,67.62,71.96,80.83,82.41,7.286
allreduce,tcp,65536,262144,2,200,195.93,201.88,219.71,221.11,10.388
allreduce,tcp,262144,1048576,2,200,538.04,549.77,577.99,584.36,15.258
allreduce,tcp,1048576,4194304,2,200,2381.16,2546.44,3284.09,3831.66,13.177
allreduce,tcp,1572864,6291456,2,200,5372.40,5570.65,5910.34,5945.59,9.035
allreduce,tcp,2097152,8388608,2,200,7107.85,7326.37,7645.56,7865.52,9.160
allreduce,tcp,3145728,12582912,2,200,7667.09,8060.77,9784.10,12363.33,12.488
allreduce,tcp,4194304,16777216,2,200,18102.46,18812.71,20852.64,21384.27,7.134
allreduce,tcp_untuned,16384,65536,2,200,84.12,89.89,106.93,107.21,5.833
allreduce,tcp_untuned,65536,262144,2,200,191.82,299.34,384.36,438.94,7.006
allreduce,tcp_untuned,262144,1048576,2,200,526.78,543.73,655.81,660.82,15.428
allreduce,tcp_untuned,1048576,4194304,2,200,2819.47,2898.78,3483.51,3519.50,11.575
allreduce,tcp_untuned,1572864,6291456,2,200,4636.22,4750.82,5037.30,5205.43,10.594
allreduce,tcp_untuned,2097152,8388608,2,200,5486.89,6025.85,6605.05,9189.00,11.137
allreduce,tcp_untuned,3145728,12582912,2,200,13036.42,13536.32,14757.39,15170.28,7.437
allreduce,tcp_untuned,4194304,16777216,2,200,10506.17,11276.32,13246.72,13757.61,11.903
allreduce,rdma,16384,65536,2,200,16.84,17.10,18.00,21.91,30.664
allreduce,rdma,65536,262144,2,200,47.62,49.10,71.36,1733.41,42.715
allreduce,rdma,262144,1048576,2,200,158.09,166.69,192.75,1595.46,50.326
allreduce,rdma,1048576,4194304,2,200,655.48,662.93,691.07,693.44,50.615
allreduce,rdma,1572864,6291456,2,200,1029.77,1043.45,3145.13,3147.11,48.236
allreduce,rdma,2097152,8388608,2,200,1733.16,1764.89,3733.55,3744.20,38.024
allreduce,rdma,3145728,12582912,2,200,3160.42,3202.67,4151.14,5048.67,31.431
allreduce,rdma,4194304,16777216,2,200,4283.17,4479.12,6178.84,6554.46,29.965
allreduce,tcp,16384,65536,2,200,77.42,81.88,95.26,96.54,6.403
allreduce,tcp,65536,262144,2,200,194.78,200.94,217.14,218.81,10.437
allreduce,tcp,262144,1048576,2,200,532.18,541.43,679.91,775.11,15.493
allreduce,tcp,1048576,4194304,2,200,3743.62,3949.35,4450.94,4514.69,8.496
allreduce,tcp,1572864,6291456,2,200,5166.13,5380.95,10492.06,211920.02,9.354
allreduce,tcp,2097152,8388608,2,200,6021.22,6167.21,6578.74,12546.96,10.882
allreduce,tcp,3145728,12582912,2,200,10354.07,10728.00,11050.28,11208.46,9.383
allreduce,tcp,4194304,16777216,2,200,12203.17,12534.55,13330.87,13411.92,10.708
allreduce,tcp_untuned,16384,65536,2,200,81.70,86.20,91.83,93.19,6.082
allreduce,tcp_untuned,65536,262144,2,200,219.98,233.12,284.88,302.88,8.996
allreduce,tcp_untuned,262144,1048576,2,200,545.64,639.04,722.12,736.60,13.127
allreduce,tcp_untuned,1048576,4194304,2,200,2387.01,2597.32,3109.60,6895.31,12.919
allreduce,tcp_untuned,1572864,6291456,2,200,4161.56,4328.61,4712.72,4752.92,11.628
allreduce,tcp_untuned,2097152,8388608,2,200,5448.41,5977.78,6265.41,6266.40,11.226
allreduce,tcp_untuned,3145728,12582912,2,200,7991.86,8315.01,9369.20,9488.36,12.106
