bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps
read,rdma,65536,1,2000,11.96,12.07,12.76,15.35,42.809
write,rdma,65536,4,2000,6.41,6.42,6.82,7.21,80.621
read,rdma,65536,4,2000,10.38,10.49,10.55,10.56,49.909
write,rdma,65536,16,2000,5.86,5.86,5.96,6.43,89.573
read,rdma,65536,16,2000,9.98,10.01,10.04,10.51,52.647
write,rdma,262144,1,2000,26.66,26.74,27.41,35.84,78.064
read,rdma,262144,1,2000,41.56,41.69,42.44,48.47,50.154
write,rdma,262144,4,2000,23.65,23.67,23.80,24.14,88.442
read,rdma,262144,4,2000,39.87,39.99,40.08,40.09,52.428
write,rdma,262144,16,2000,22.91,22.91,23.08,23.68,91.987
read,rdma,262144,16,2000,39.47,39.50,39.53,40.05,53.408
write,rdma,1048576,1,500,94.55,94.70,95.23,104.39,88.408
read,rdma,1048576,1,500,159.44,159.69,160.56,161.44,52.483
write,rdma,1048576,4,500,91.61,91.64,91.77,92.18,91.482
read,rdma,1048576,4,500,157.80,157.91,157.96,157.97,53.120
write,rdma,1048576,16,500,90.86,90.86,91.18,91.18,94.570
read,rdma,1048576,16,500,157.38,157.42,157.94,157.94,54.591
write,rdma,4194304,1,500,366.33,366.99,367.69,369.51,91.431
read,rdma,4194304,1,500,632.49,632.95,633.67,645.72,53.000
write,rdma,4194304,4,500,363.39,363.45,363.65,363.92,92.310
read,rdma,4194304,4,500,630.79,630.87,633.57,634.09,53.178
write,rdma,4194304,16,500,362.66,362.68,363.55,363.55,94.784
read,rdma,4194304,16,500,630.33,630.35,637.79,637.79,54.514
write,rdma,4096,1,2000,2.03,2.09,2.14,4.42,15.440
read,rdma,4096,1,2000,2.35,2.40,2.54,6.28,13.464
write,rdma,4096,4,2000,0.88,0.90,0.91,1.21,36.190
read,rdma,4096,4,2000,1.11,1.13,1.17,1.18,28.802
write,rdma,4096,16,2000,0.51,0.51,0.55,0.90,63.221
read,rdma,4096,16,2000,0.75,0.75,0.76,1.13,43.576
write,rdma,16384,1,2000,3.08,3.13,3.65,23.22,40.925
read,rdma,16384,1,2000,4.32,4.39,4.53,5.61,29.625
write,rdma,16384,4,2000,2.08,2.10,2.33,2.64,60.916
read,rdma,16384,4,2000,2.93,2.98,3.12,7.20,43.495
write,rdma,16384,16,2000,1.69,1.70,1.71,2.11,77.525
read,rdma,16384,16,2000,2.59,2.60,2.64,2.98,50.547
write,rdma,65536,1,2000,8.57,8.69,9.31,30.75,59.053
read,rdma,65536,1,2000,11.97,12.07,12.74,15.83,42.789
write,rdma,65536,4,2000,6.41,6.43,6.82,11.41,80.350
read,rdma,65536,4,2000,10.39,10.49,10.55,10.56,49.902
write,rdma,65536,16,2000,5.86,5.86,6.06,6.83,89.449
read,rdma,65536,16,2000,9.99,10.01,10.03,10.56,52.661
write,rdma,262144,1,2000,26.67,26.97,27.60,33.31,77.579
read,rdma,262144,1,2000,41.51,41.58,42.12,42.23,50.322
write,rdma,262144,4,2000,23.66,23.67,23.81,29.46,88.371
read,rdma,262144,4,2000,39.87,39.98,40.04,40.07,52.437
write,rdma,262144,16,2000,22.91,22.91,22.95,23.67,91.997
read,rdma,262144,16,2000,39.46,39.49,39.49,39.89,53.432
write,rdma,1048576,1,500,94.61,94.70,95.22,102.23,88.426
read,rdma,1048576,1,500,159.53,159.88,160.98,163.36,52.406
write,rdma,1048576,4,500,91.59,91.63,92.07,93.98,91.468
read,rdma,1048576,4,500,157.79,157.91,157.97,157.97,53.120
write,rdma,1048576,16,500,90.86,90.87,91.12,91.12,94.568
read,rdma,1048576,16,500,157.40,157.41,158.14,158.14,54.589
write,rdma,4194304,1,500,366.32,366.97,367.77,375.98,91.420
read,rdma,4194304,1,500,632.45,632.88,645.30,659.29,52.984
write,rdma,4194304,4,500,363.40,363.54,363.72,364.59,92.290
read,rdma,4194304,4,500,630.77,630.88,631.02,633.11,53.184
write,rdma,4194304,16,500,362.68,362.70,363.01,363.01,94.781
read,rdma,4194304,16,500,630.32,630.34,631.07,631.07,54.537
write,rdma,4096,1,2000,2.03,2.09,2.14,5.41,15.442
read,rdma,4096,1,2000,2.34,2.39,2.56,6.32,13.460
write,rdma,4096,4,2000,0.89,0.90,0.91,1.77,36.157
read,rdma,4096,4,2000,1.11,1.12,1.17,1.17,28.753
write,rdma,4096,16,2000,0.51,0.51,0.62,1.07,63.059
read,rdma,4096,16,2000,0.76,0.76,0.77,1.18,43.032
write,rdma,16384,1,2000,3.09,3.14,3.65,6.65,41.001
read,rdma,16384,1,2000,4.32,4.38,4.54,17.93,29.598
write,rdma,16384,4,2000,2.08,2.10,2.33,3.29,60.911
read,rdma,16384,4,2000,2.94,2.97,3.10,3.38,43.685
write,rdma,16384,16,2000,1.69,1.70,1.87,2.31,77.317
read,rdma,16384,16,2000,2.59,2.60,2.84,3.31,50.336
write,rdma,65536,1,2000,8.57,8.70,9.33,41.41,58.980
read,rdma,65536,1,2000,11.99,12.09,12.72,20.50,42.723
write,rdma,65536,4,2000,6.41,6.43,6.87,9.50,80.474
read,rdma,65536,4,2000,10.38,10.49,10.55,14.44,49.887
write,rdma,65536,16,2000,5.86,5.86,5.96,6.41,89.579
read,rdma,65536,16,2000,9.99,10.01,10.04,10.53,52.650
write,rdma,262144,1,2000,26.66,26.81,27.48,43.49,77.845
read,rdma,262144,1,2000,41.57,41.73,42.46,51.34,50.128
write,rdma,262144,4,2000,23.66,23.68,23.81,24.05,88.423
read,rdma,262144,4,2000,39.87,39.98,40.04,40.05,52.440
write,rdma,262144,16,2000,22.91,22.91,22.95,23.68,92.006
read,rdma,262144,16,2000,39.47,39.49,39.52,40.05,53.415
write,rdma,1048576,1,500,94.64,94.71,95.38,97.00,88.392
read,rdma,1048576,1,500,159.47,159.71,160.59,163.39,52.473
write,rdma,1048576,4,500,91.61,91.63,91.77,92.14,91.483
read,rdma,1048576,4,500,157.79,157.91,157.97,157.97,53.121
write,rdma,1048576,16,500,90.86,90.86,91.12,91.12,94.570
read,rdma,1048576,16,500,157.38,157.41,157.57,157.57,54.600
write,rdma,4194304,1,500,366.38,367.05,371.83,378.10,91.371
read,rdma,4194304,1,500,632.47,632.87,633.43,645.55,53.005
write,rdma,4194304,4,500,363.39,363.44,365.23,365.38,92.304
read,rdma,4194304,4,500,630.78,630.88,630.95,630.95,53.186
write,rdma,4194304,16,500,362.68,362.72,363.16,363.16,94.778
read,rdma,4194304,16,500,630.33,630.35,631.27,631.27,54.536
write,rdma,4096,1,2000,2.02,2.09,2.14,7.00,15.450
read,rdma,4096,1,2000,2.35,2.39,2.55,6.06,13.467
write,rdma,4096,4,2000,0.89,0.90,0.91,1.21,36.236
read,rdma,4096,4,2000,1.11,1.13,1.15,2.21,28.802
write,rdma,4096,16,2000,0.51,0.51,0.58,0.90,63.453
read,rdma,4096,16,2000,0.75,0.76,0.77,1.17,42.996
write,rdma,16384,1,2000,3.09,3.13,3.65,6.55,41.043
read,rdma,16384,1,2000,4.33,4.41,4.52,27.02,29.471
write,rdma,16384,4,2000,2.08,2.10,2.33,2.40,61.092
read,rdma,16384,4,2000,2.94,2.97,3.11,6.31,43.558
write,rdma,16384,16,2000,1.69,1.70,1.71,2.32,77.441
read,rdma,16384,16,2000,2.60,2.60,2.64,3.03,50.424
write,rdma,65536,1,2000,8.54,8.68,9.31,37.40,59.055
read,rdma,65536,1,2000,11.97,12.08,12.71,13.99,42.784
write,rdma,65536,4,2000,6.41,6.43,6.82,8.17,80.517
read,rdma,65536,4,2000,10.39,10.50,10.56,10.57,49.879
write,rdma,65536,16,2000,5.85,5.86,5.96,6.42,89.601
read,rdma,65536,16,2000,9.98,10.00,10.02,10.72,52.686
write,rdma,262144,1,2000,26.67,26.94,27.55,48.22,77.578
read,rdma,262144,1,2000,41.51,41.58,42.12,43.15,50.327
write,rdma,262144,4,2000,23.66,23.67,23.80,24.38,88.445
read,rdma,262144,4,2000,39.88,39.98,40.04,40.06,52.439
write,rdma,262144,16,2000,22.91,22.91,23.49,23.78,91.949
read,rdma,262144,16,2000,39.47,39.49,39.52,39.95,53.415
write,rdma,1048576,1,500,94.59,94.71,95.31,103.71,88.410
read,rdma,1048576,1,500,159.53,159.78,160.59,171.72,52.442
write,rdma,1048576,4,500,91.61,91.64,91.78,92.05,91.483
read,rdma,1048576,4,500,157.80,157.91,157.97,158.91,53.117
write,rdma,1048576,16,500,90.86,90.86,91.12,91.12,94.568
read,rdma,1048576,16,500,157.39,157.41,157.60,157.60,54.598
write,rdma,4194304,1,500,366.37,367.22,373.04,384.08,91.306
read,rdma,4194304,1,500,632.48,632.90,633.48,645.64,53.006
write,rdma,4194304,4,500,363.38,363.47,363.58,363.91,92.308
read,rdma,4194304,4,500,630.77,630.86,631.35,635.89,53.184
write,rdma,4194304,16,500,362.67,362.68,362.92,362.92,94.789
read,rdma,4194304,16,500,630.33,630.36,631.16,631.16,54.530
