bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps,rep
lat_rdma_write,verbs,65536,64,1000,16.615,16.785,17.871,37.150,,3
perftest_ib_send_lat,verbs,65536,64,1000,8.46,8.68,9.30,15.80,,3
perftest_ib_write_lat,verbs,65536,64,1000,8.35,8.59,9.35,11.13,,3
lat_send_recv,verbs,65536,64,1000,16.696,16.958,19.419,31.699,,4
lat_rdma_write,verbs,65536,64,1000,16.563,16.777,17.869,35.170,,4
perftest_ib_send_lat,verbs,65536,64,1000,8.44,8.67,9.34,16.71,,4
perftest_ib_write_lat,verbs,65536,64,1000,8.37,8.53,9.26,16.09,,4
lat_send_recv,verbs,65536,64,1000,16.665,17.264,23.051,40.284,,5
lat_rdma_write,verbs,65536,64,1000,16.606,16.797,17.879,36.585,,5
perftest_ib_send_lat,verbs,65536,64,1000,8.44,8.70,12.04,15.92,,5
perftest_ib_write_lat,verbs,65536,64,1000,8.33,8.57,9.46,16.30,,5
lat_send_recv,verbs,262144,64,1000,52.754,52.870,54.767,69.725,,1
lat_rdma_write,verbs,262144,64,1000,52.704,53.096,61.481,68.023,,1
perftest_ib_send_lat,verbs,262144,64,1000,26.51,26.75,31.08,34.16,,1
perftest_ib_write_lat,verbs,262144,64,1000,26.45,26.57,32.77,33.62,,1
lat_send_recv,verbs,262144,64,1000,52.737,52.859,57.550,70.833,,2
lat_rdma_write,verbs,262144,64,1000,52.685,52.788,64.960,68.091,,2
perftest_ib_send_lat,verbs,262144,64,1000,26.37,26.45,32.63,34.25,,2
perftest_ib_write_lat,verbs,262144,64,1000,26.42,26.56,32.56,34.27,,2
lat_send_recv,verbs,262144,64,1000,52.762,52.877,57.367,69.917,,3
lat_rdma_write,verbs,262144,64,1000,52.673,52.773,64.641,69.046,,3
perftest_ib_send_lat,verbs,262144,64,1000,26.40,26.63,28.34,33.97,,3
perftest_ib_write_lat,verbs,262144,64,1000,26.43,26.56,32.25,34.03,,3
lat_send_recv,verbs,262144,64,1000,52.723,52.874,55.051,65.807,,4
lat_rdma_write,verbs,262144,64,1000,52.643,52.769,64.573,67.336,,4
perftest_ib_send_lat,verbs,262144,64,1000,26.50,26.70,30.53,34.11,,4
perftest_ib_write_lat,verbs,262144,64,1000,26.40,26.57,32.27,33.97,,4
lat_send_recv,verbs,262144,64,1000,52.754,52.876,54.732,70.007,,5
lat_rdma_write,verbs,262144,64,1000,52.735,52.831,65.735,67.997,,5
perftest_ib_send_lat,verbs,262144,64,1000,26.39,26.58,29.89,34.46,,5
perftest_ib_write_lat,verbs,262144,64,1000,26.47,26.66,31.48,33.77,,5
lat_send_recv,verbs,1048576,64,1000,188.682,188.869,191.153,202.612,,1
lat_rdma_write,verbs,1048576,64,1000,188.351,189.291,200.748,204.449,,1
perftest_ib_send_lat,verbs,1048576,64,1000,94.55,95.04,99.62,101.86,,1
perftest_ib_write_lat,verbs,1048576,64,1000,94.52,95.00,100.54,101.76,,1
lat_send_recv,verbs,1048576,64,1000,188.677,188.899,193.197,206.515,,2
lat_rdma_write,verbs,1048576,64,1000,188.458,188.959,200.837,203.383,,2
perftest_ib_send_lat,verbs,1048576,64,1000,94.53,95.20,97.99,101.60,,2
perftest_ib_write_lat,verbs,1048576,64,1000,94.49,94.97,100.34,101.30,,2
lat_send_recv,verbs,1048576,64,1000,188.673,188.920,194.799,204.915,,3
lat_rdma_write,verbs,1048576,64,1000,188.356,188.961,202.472,209.114,,3
perftest_ib_send_lat,verbs,1048576,64,1000,94.63,95.28,96.10,100.54,,3
perftest_ib_write_lat,verbs,1048576,64,1000,94.31,94.75,100.82,101.90,,3
lat_send_recv,verbs,1048576,64,1000,188.636,188.830,198.768,220.621,,4
lat_rdma_write,verbs,1048576,64,1000,188.674,189.621,200.146,204.437,,4
perftest_ib_send_lat,verbs,1048576,64,1000,94.59,95.12,99.04,100.78,,4
perftest_ib_write_lat,verbs,1048576,64,1000,94.38,94.73,101.18,102.62,,4
lat_send_recv,verbs,1048576,64,1000,188.661,189.076,193.093,206.496,,5
lat_rdma_write,verbs,1048576,64,1000,188.457,189.154,201.927,204.951,,5
perftest_ib_send_lat,verbs,1048576,64,1000,94.48,94.82,99.91,101.42,,5
perftest_ib_write_lat,verbs,1048576,64,1000,94.60,94.99,99.78,102.28,,5
lat_send_recv,verbs,4096,1,1000,5.306,7.055,7.311,12.148,,1
lat_rdma_write,verbs,4096,1,1000,3.459,3.526,3.620,16.799,,1
