bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps
sendrecv,rdma,256,8,20000,2.34,2.43,3.71,30.19,
write_ack,rdma,256,1,20000,1.41,1.47,1.51,13.08,
sendrecv,rdma,1024,8,20000,2.72,2.79,4.08,51.85,
write_ack,rdma,1024,1,20000,1.59,1.66,1.69,12.11,
sendrecv,rdma,4096,8,20000,3.48,3.58,7.22,49.65,
write_ack,rdma,4096,1,20000,1.97,2.06,2.11,25.39,
sendrecv,rdma,16384,8,20000,5.64,5.72,9.44,42.02,
write_ack,rdma,16384,1,20000,3.06,3.11,3.63,26.04,
sendrecv,rdma,65536,8,5000,16.75,17.40,21.89,49.23,
write_ack,rdma,65536,1,5000,8.54,8.66,9.29,24.34,
sendrecv,rdma,262144,8,5000,52.78,52.97,56.66,71.00,
write_ack,rdma,262144,1,5000,26.64,26.88,27.47,41.01,
sendrecv,rdma,1048576,8,5000,188.72,188.92,195.91,212.52,
write_ack,rdma,1048576,1,5000,94.58,94.89,99.72,107.46,
sendrecv,tcp,64,,20000,8.45,8.71,9.23,49.10,
sendrecv,tcp,256,,20000,9.79,10.21,12.61,55.80,
sendrecv,tcp,1024,,20000,9.60,10.01,10.57,29.35,
sendrecv,tcp,4096,,20000,15.13,16.10,17.64,30.51,
sendrecv,tcp,16384,,20000,21.04,23.04,25.52,48.21,
sendrecv,tcp,65536,,5000,59.42,69.64,74.75,125.50,
sendrecv,tcp,262144,,5000,152.36,162.01,175.29,275.05,
sendrecv,tcp,1048576,,5000,432.09,451.77,597.75,3872.33,
sendrecv,tcp_untuned,64,,20000,14.45,14.94,17.22,138.38,
sendrecv,tcp_untuned,256,,20000,15.61,17.22,20.51,46.04,
sendrecv,tcp_untuned,1024,,20000,15.64,16.42,18.56,67.17,
sendrecv,tcp_untuned,4096,,20000,31.96,43.51,45.45,130.68,
sendrecv,tcp_untuned,16384,,20000,24.99,26.90,52.94,168.13,
sendrecv,tcp_untuned,65536,,5000,63.43,86.44,121.66,152.10,
sendrecv,tcp_untuned,262144,,5000,197.56,211.95,295.50,343.38,
sendrecv,tcp_untuned,1048576,,5000,567.29,634.01,775.52,3643.52,
sendrecv,rdma,64,8,20000,1.72,1.79,3.09,19.24,
write_ack,rdma,64,1,20000,1.09,1.16,1.18,26.12,
sendrecv,rdma,256,8,20000,2.34,2.43,3.73,42.82,
write_ack,rdma,256,1,20000,1.40,1.47,1.51,30.65,
sendrecv,rdma,1024,8,20000,2.71,2.80,4.09,62.64,
write_ack,rdma,1024,1,20000,1.57,1.63,1.68,24.79,
sendrecv,rdma,4096,8,20000,3.47,3.58,7.25,53.89,
write_ack,rdma,4096,1,20000,1.97,2.05,2.11,24.85,
sendrecv,rdma,16384,8,20000,5.63,5.71,9.43,36.58,
write_ack,rdma,16384,1,20000,3.06,3.12,3.72,25.10,
sendrecv,rdma,65536,8,5000,16.67,17.41,20.93,45.59,
write_ack,rdma,65536,1,5000,8.55,8.74,9.62,19.73,
sendrecv,rdma,262144,8,5000,52.82,52.98,60.01,91.83,
write_ack,rdma,262144,1,5000,26.65,26.72,27.18,40.54,
sendrecv,rdma,1048576,8,5000,188.74,189.22,196.23,216.45,
write_ack,rdma,1048576,1,5000,94.63,94.92,101.78,107.59,
sendrecv,tcp,64,,20000,9.21,9.52,10.06,77.06,
sendrecv,tcp,256,,20000,8.62,8.99,11.51,49.22,
sendrecv,tcp,1024,,20000,9.62,10.09,10.77,49.16,
sendrecv,tcp,4096,,20000,13.85,14.59,16.42,34.57,
sendrecv,tcp,16384,,20000,20.96,22.96,25.87,80.81,
sendrecv,tcp,65536,,5000,58.41,68.20,73.73,137.96,
sendrecv,tcp,262144,,5000,134.22,139.82,164.45,398.61,
sendrecv,tcp,1048576,,5000,546.34,572.96,635.17,1077.03,
sendrecv,tcp_untuned,64,,20000,14.18,14.67,18.56,2726.54,
sendrecv,tcp_untuned,256,,20000,15.08,15.62,18.34,117.44,
sendrecv,tcp_untuned,1024,,20000,15.02,16.82,18.09,139.20,
sendrecv,tcp_untuned,4096,,20000,18.46,36.02,50.42,947.74,
sendrecv,tcp_untuned,16384,,20000,25.56,28.68,60.82,127.32,
sendrecv,tcp_untuned,65536,,5000,63.87,78.78,132.78,1603.06,
sendrecv,tcp_untuned,262144,,5000,141.09,176.09,200.17,2752.91,
sendrecv,tcp_untuned,1048576,,5000,433.73,531.19,727.59,9308.80,
sendrecv,rdma,64,8,20000,1.72,1.79,3.09,19.09,
write_ack,rdma,64,1,20000,1.09,1.16,1.18,27.77,
sendrecv,rdma,256,8,20000,2.35,2.44,3.73,36.16,
write_ack,rdma,256,1,20000,1.40,1.47,1.58,24.02,
sendrecv,rdma,1024,8,20000,2.71,2.80,4.09,64.19,
write_ack,rdma,1024,1,20000,1.57,1.63,1.67,28.03,
sendrecv,rdma,4096,8,20000,3.48,3.59,7.25,37.52,
write_ack,rdma,4096,1,20000,1.98,2.06,2.11,15.55,
sendrecv,rdma,16384,8,20000,5.64,5.72,9.44,59.35,
write_ack,rdma,16384,1,20000,3.06,3.16,3.75,16.70,
sendrecv,rdma,65536,8,5000,16.73,17.38,21.89,52.08,
write_ack,rdma,65536,1,5000,8.49,8.66,9.29,36.88,
sendrecv,rdma,262144,8,5000,52.78,52.97,59.49,70.96,
write_ack,rdma,262144,1,5000,26.65,26.76,27.45,38.96,
sendrecv,rdma,1048576,8,5000,188.74,189.28,194.07,215.69,
write_ack,rdma,1048576,1,5000,94.48,94.86,102.60,107.13,
sendrecv,tcp,64,,20000,8.52,8.84,9.58,44.86,
sendrecv,tcp,256,,20000,8.67,9.06,11.61,34.00,
sendrecv,tcp,1024,,20000,9.89,10.72,12.04,64.80,
sendrecv,tcp,4096,,20000,13.59,14.18,16.68,32.91,
sendrecv,tcp,16384,,20000,19.68,22.65,27.05,52.41,
sendrecv,tcp,65536,,5000,57.16,60.00,66.10,106.30,
sendrecv,tcp,262144,,5000,133.77,141.14,156.12,300.60,
sendrecv,tcp,1048576,,5000,426.47,452.74,514.02,9118.96,
sendrecv,tcp_untuned,64,,20000,14.68,15.34,17.00,65.75,
sendrecv,tcp_untuned,256,,20000,14.02,14.64,15.89,70.38,
sendrecv,tcp_untuned,1024,,20000,14.39,15.13,17.83,151.44,
sendrecv,tcp_untuned,4096,,20000,18.20,42.64,51.76,2420.86,
sendrecv,tcp_untuned,16384,,20000,25.35,28.32,54.25,559.73,
sendrecv,tcp_untuned,65536,,5000,59.87,85.87,116.39,493.98,
sendrecv,tcp_untuned,262144,,5000,142.85,180.49,198.30,304.00,
sendrecv,tcp_untuned,1048576,,5000,434.00,530.48,726.16,2874.69,
sendrecv,rdma,64,8,20000,1.70,1.79,3.10,28.97,
write_ack,rdma,64,1,20000,1.09,1.16,1.18,12.09,
sendrecv,rdma,256,8,20000,2.33,2.43,3.73,35.86,
write_ack,rdma,256,1,20000,1.41,1.47,1.51,32.02,
sendrecv,rdma,1024,8,20000,2.69,2.79,4.08,33.85,
write_ack,rdma,1024,1,20000,1.59,1.65,1.69,33.24,
sendrecv,rdma,4096,8,20000,3.49,3.58,7.24,29.65,
write_ack,rdma,4096,1,20000,1.98,2.06,2.11,25.24,
sendrecv,rdma,16384,8,20000,5.63,5.72,9.44,58.29,
write_ack,rdma,16384,1,20000,3.05,3.11,3.63,33.95,
sendrecv,rdma,65536,8,5000,16.71,17.42,21.02,41.97,
write_ack,rdma,65536,1,5000,8.51,8.65,9.29,33.03,
sendrecv,rdma,262144,8,5000,52.78,52.98,57.03,69.46,
write_ack,rdma,262144,1,5000,26.64,26.72,27.17,41.58,
sendrecv,rdma,1048576,8,5000,188.66,189.24,195.29,208.93,
write_ack,rdma,1048576,1,5000,94.63,94.98,98.75,106.16,
sendrecv,tcp,64,,20000,8.58,8.76,9.49,25.02,
sendrecv,tcp,256,,20000,9.29,9.60,10.29,43.53,
sendrecv,tcp,1024,,20000,9.04,9.52,11.42,170.04,
sendrecv,tcp,4096,,20000,13.84,15.59,16.77,31.26,
sendrecv,tcp,16384,,20000,21.20,22.44,24.43,92.25,
sendrecv,tcp,65536,,5000,58.28,66.33,72.46,130.68,
sendrecv,tcp,262144,,5000,159.05,166.55,177.32,238.26,
sendrecv,tcp,1048576,,5000,546.89,563.66,713.78,8290.02,
sendrecv,tcp_untuned,64,,20000,15.21,15.70,16.64,42.95,
sendrecv,tcp_untuned,256,,20000,14.72,15.70,18.76,296.31,
sendrecv,tcp_untuned,1024,,20000,15.98,17.49,19.75,113.64,
sendrecv,tcp_untuned,4096,,20000,17.96,19.38,45.74,826.86,
sendrecv,tcp_untuned,16384,,20000,25.53,29.20,63.79,109.30,
sendrecv,tcp_untuned,65536,,5000,63.35,77.86,135.66,459.78,
sendrecv,tcp_untuned,262144,,5000,142.20,177.96,207.48,306.05,
sendrecv,tcp_untuned,1048576,,5000,459.40,534.12,669.80,4296.77,
sendrecv,rdma,64,8,20000,1.67,1.78,3.09,29.21,
write_ack,rdma,64,1,20000,1.09,1.16,1.19,31.70,
sendrecv,rdma,256,8,20000,2.36,2.43,3.73,27.97,
write_ack,rdma,256,1,20000,1.42,1.47,1.51,35.63,
sendrecv,rdma,1024,8,20000,2.72,2.80,4.08,38.09,
write_ack,rdma,1024,1,20000,1.57,1.64,1.68,24.70,
sendrecv,rdma,4096,8,20000,3.47,3.58,7.23,41.18,
write_ack,rdma,4096,1,20000,1.98,2.06,2.11,24.21,
sendrecv,rdma,16384,8,20000,5.62,5.72,9.43,35.24,
write_ack,rdma,16384,1,20000,3.06,3.11,3.63,36.46,
sendrecv,rdma,65536,8,5000,16.72,17.42,20.87,71.39,
write_ack,rdma,65536,1,5000,8.57,8.65,9.28,23.49,
sendrecv,rdma,262144,8,5000,52.80,52.97,58.57,71.05,
write_ack,rdma,262144,1,5000,26.66,26.72,27.18,38.37,
sendrecv,rdma,1048576,8,5000,188.67,189.22,194.64,206.39,
write_ack,rdma,1048576,1,5000,94.52,94.87,95.72,107.81,
sendrecv,tcp,64,,20000,8.53,8.84,9.50,51.75,
sendrecv,tcp,256,,20000,9.71,10.18,12.51,33.80,
sendrecv,tcp,1024,,20000,9.15,9.67,11.24,23.76,
sendrecv,tcp,4096,,20000,13.32,14.24,16.96,35.79,
sendrecv,tcp,16384,,20000,22.64,24.95,28.18,51.02,
sendrecv,tcp,65536,,5000,58.75,70.64,77.01,137.84,
sendrecv,tcp,262144,,5000,134.64,141.76,169.54,1351.48,
sendrecv,tcp,1048576,,5000,435.74,449.89,584.32,660.70,
sendrecv,tcp_untuned,64,,20000,15.73,16.37,17.68,62.55,
sendrecv,tcp_untuned,256,,20000,14.55,15.86,19.79,4801.78,
sendrecv,tcp_untuned,1024,,20000,14.56,15.41,17.56,7357.94,
sendrecv,tcp_untuned,4096,,20000,17.44,45.00,50.36,259.39,
sendrecv,tcp_untuned,16384,,20000,25.43,42.60,58.42,154.02,
sendrecv,tcp_untuned,65536,,5000,64.95,81.32,129.75,8013.26,
sendrecv,tcp_untuned,262144,,5000,141.33,179.83,203.25,322.88,
sendrecv,tcp_untuned,1048576,,5000,728.47,810.28,917.88,1457.86,
sendrecv,rdma,64,8,20000,1.68,1.78,3.09,19.85,
write_ack,rdma,64,1,20000,1.09,1.16,1.18,25.49,
sendrecv,rdma,256,8,20000,2.34,2.43,3.73,44.14,
write_ack,rdma,256,1,20000,1.41,1.47,1.51,21.01,
sendrecv,rdma,1024,8,20000,2.70,2.79,4.09,37.86,
write_ack,rdma,1024,1,20000,1.58,1.65,1.69,24.68,
sendrecv,rdma,4096,8,20000,3.47,3.58,7.24,53.62,
write_ack,rdma,4096,1,20000,1.97,2.05,2.10,25.98,
sendrecv,rdma,16384,8,20000,5.61,5.72,9.43,33.99,
write_ack,rdma,16384,1,20000,3.07,3.12,3.73,16.61,
sendrecv,rdma,65536,8,5000,16.72,17.40,20.90,34.31,
write_ack,rdma,65536,1,5000,8.49,8.66,9.29,25.87,
sendrecv,rdma,262144,8,5000,52.80,52.98,57.22,105.65,
write_ack,rdma,262144,1,5000,26.66,26.73,27.19,38.48,
sendrecv,rdma,1048576,8,5000,188.69,189.25,195.25,206.37,
write_ack,rdma,1048576,1,5000,94.51,94.86,97.75,108.83,
sendrecv,tcp,64,,20000,8.53,8.87,9.47,24.54,
sendrecv,tcp,256,,20000,9.34,9.67,10.49,36.38,
sendrecv,tcp,1024,,20000,8.95,9.45,11.34,50.64,
sendrecv,tcp,4096,,20000,14.93,16.01,17.41,45.49,
sendrecv,tcp,16384,,20000,22.62,24.72,27.65,83.14,
sendrecv,tcp,65536,,5000,56.63,64.34,75.13,120.63,
sendrecv,tcp,262144,,5000,152.47,160.95,181.74,262.32,
sendrecv,tcp,1048576,,5000,628.66,650.27,680.40,770.87,
sendrecv,tcp_untuned,64,,20000,14.68,16.34,17.03,101.63,
sendrecv,tcp_untuned,256,,20000,15.21,16.66,17.86,49.59,
sendrecv,tcp_untuned,1024,,20000,15.87,16.46,17.84,97.16,
sendrecv,tcp_untuned,4096,,20000,21.16,26.26,48.64,12084.54,
sendrecv,tcp_untuned,16384,,20000,25.73,57.06,66.50,126.56,
sendrecv,tcp_untuned,65536,,5000,63.96,84.94,115.44,167.78,
sendrecv,tcp_untuned,262144,,5000,177.10,203.91,260.63,303.27,
sendrecv,tcp_untuned,1048576,,5000,442.49,534.04,683.60,1012.27,
sendrecv,rdma,64,8,20000,1.72,1.79,3.09,31.56,
